segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,symbol,qty_multiplier,security_type,weekly,expiry,asset_symbol,underlying_symbol,minimum_lot,asset_type,underlying_type,strike_price,short_name,asset_key,underlying_key,last_trading_date,price_quote_unit,download_date
NSE_EQ,SNOWMAN LOGISTICS LTD.,NSE,INE734N01019,EQ,NSE_EQ|INE734N01019,1.0,100000.0,4843,1.0,SNOWMAN,1.0,NORMAL,,,,,,,,,Snowman Logistics,,,,,2026-04-17
NSE_EQ,INTRASOFT TECH. LTD,NSE,INE566K01011,EQ,NSE_EQ|INE566K01011,1.0,100000.0,18479,1.0,ISFT,1.0,NORMAL,,,,,,,,,Intrasoft Technologies,,,,,2026-04-17
NSE_EQ,POLYCAB INDIA LIMITED,NSE,INE455K01017,EQ,NSE_EQ|INE455K01017,1.0,100000.0,9590,50.0,POLYCAB,1.0,NORMAL,,,,,,,,,Polycab India,,,,,2026-04-17
NSE_EQ,SRM CONTRACTORS LIMITED,NSE,INE0R6Z01013,EQ,NSE_EQ|INE0R6Z01013,1.0,100000.0,23402,5.0,SRM,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,BAJAJ CONSUMER CARE LTD,NSE,INE933K01021,EQ,NSE_EQ|INE933K01021,1.0,100000.0,19531,5.0,BAJAJCON,1.0,NORMAL,,,,,,,,,Bajaj Consumer Care,,,,,2026-04-17
NSE_EQ,AUROBINDO PHARMA LTD,NSE,INE406A01037,EQ,NSE_EQ|INE406A01037,1.0,100000.0,275,10.0,AUROPHARMA,1.0,NORMAL,,,,,,,,,Aurobindo Pharma,,,,,2026-04-17
NSE_EQ,GODAVARI BIOREFINERIES L,NSE,INE497S01012,EQ,NSE_EQ|INE497S01012,1.0,100000.0,25941,5.0,GODAVARIB,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,WEALTH FRST PORT. MG. LTD,NSE,INE658T01017,EQ,NSE_EQ|INE658T01017,1.0,100000.0,1923,5.0,WEALTH,1.0,NORMAL,,,,,,,,,Wealth First Portfolio Managers,,,,,2026-04-17
NSE_EQ,SUNDRAM FASTENERS LTD,NSE,INE387A01021,EQ,NSE_EQ|INE387A01021,1.0,100000.0,3345,5.0,SUNDRMFAST,1.0,NORMAL,,,,,,,,,Sundaram Fasteners,,,,,2026-04-17
NSE_EQ,RATNAMANI MET & TUB LTD.,NSE,INE703B01027,EQ,NSE_EQ|INE703B01027,1.0,100000.0,13451,10.0,RATNAMANI,1.0,NORMAL,,,,,,,,,Ratnamani Met & Tub,,,,,2026-04-17
NSE_EQ,SHRIRAM PROPERTIES LTD,NSE,INE217L01019,EQ,NSE_EQ|INE217L01019,1.0,100000.0,7200,1.0,SHRIRAMPPS,1.0,NORMAL,,,,,,,,,Shriram Properties,,,,,2026-04-17
NSE_EQ,GROWWAMC - GROWWSC250,NSE,INF666M01MO0,EQ,NSE_EQ|INF666M01MO0,1.0,100000.0,759522,1.0,GROWWSC250,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,GROWWAMC - GROWWRLTY,NSE,INF666M01MN2,EQ,NSE_EQ|INF666M01MN2,1.0,100000.0,759428,1.0,GROWWRLTY,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,CONS. CONST. CONSORT LTD,NSE,INE429I01024,EQ,NSE_EQ|INE429I01024,1.0,100000.0,14992,1.0,CCCL,1.0,NORMAL,,,,,,,,,Cons. Const. Consort,,,,,2026-04-17
NSE_EQ,DE NORA INDIA LIMITED,NSE,INE244A01016,EQ,NSE_EQ|INE244A01016,1.0,100000.0,4279,5.0,DENORA,1.0,NORMAL,,,,,,,,,De Nora India,,,,,2026-04-17
NSE_EQ,GROWWAMC - GROWWCAPM,NSE,INF666M01MM4,EQ,NSE_EQ|INF666M01MM4,1.0,100000.0,760051,1.0,GROWWCAPM,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,EASY TRIP PLANNERS LTD,NSE,INE07O001026,EQ,NSE_EQ|INE07O001026,1.0,100000.0,2792,1.0,EASEMYTRIP,1.0,NORMAL,,,,,,,,,Easy Trip Planners,,,,,2026-04-17
NSE_EQ,P N GADGIL JEWELLERS LTD,NSE,INE953R01016,EQ,NSE_EQ|INE953R01016,1.0,100000.0,25312,5.0,PNGJL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,GROWWAMC - GROWWMC150,NSE,INF666M01MV5,EQ,NSE_EQ|INF666M01MV5,1.0,100000.0,759719,1.0,GROWWMC150,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,MAHINDRA & MAHINDRA LTD,NSE,INE101A01026,EQ,NSE_EQ|INE101A01026,1.0,100000.0,2031,10.0,M&M,1.0,NORMAL,,,,,,,,,Mahindra & Mahindra,,,,,2026-04-17
NSE_EQ,SBC EXPORTS LIMITED,NSE,INE04AK01028,EQ,NSE_EQ|INE04AK01028,1.0,100000.0,6792,1.0,SBC,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,ASHOK LEYLAND LTD,NSE,INE208A01029,EQ,NSE_EQ|INE208A01029,1.0,100000.0,212,1.0,ASHOKLEY,1.0,NORMAL,,,,,,,,,Ashok Leyland,,,,,2026-04-17
NSE_EQ,GROWWAMC - GROWWMETAL,NSE,INF666M01NI0,EQ,NSE_EQ|INF666M01NI0,1.0,100000.0,760438,1.0,GROWWMETAL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,MATRIMONY.COM LIMITED,NSE,INE866R01028,EQ,NSE_EQ|INE866R01028,1.0,100000.0,21726,5.0,MATRIMONY,1.0,NORMAL,,,,,,,,,Matrimony.com,,,,,2026-04-17
NSE_EQ,HEXA TRADEX LIMITED,NSE,INE750M01017,EQ,NSE_EQ|INE750M01017,1.0,100000.0,27008,1.0,HEXATRADEX,1.0,NORMAL,,,,,,,,,Hexa Tradex,,,,,2026-04-17
